id	group	genre	hangul_before	hangul_after	removed
wiki-01	human	wiki	997	997	
wiki-02	human	wiki	848	848	
personal-01	human	personal	925	925	
personal-02	human	personal	831	831	
personal-03	human	personal	910	910	
personal-04	human	personal	1476	1476	
wiki-03	human	wiki	900	900	
personal-05	human	personal	3271	3271	
wiki-04	human	wiki	1101	1101	
wiki-05	human	wiki	1816	1816	
wiki-06	human	wiki	4103	4103	
personal-06	human	personal	877	877	
wiki-07	human	wiki	978	978	
personal-07	human	personal	807	807	
wiki-08	human	wiki	10857	10857	
personal-08	human	personal	2236	2236	
wiki-09	human	wiki	1277	1277	
personal-09	human	personal	5961	5961	
personal-10	human	personal	1353	1353	
wiki-10	human	wiki	1293	1293	
tech-01	human	tech	2830	2830	
tech-02	human	tech	1428	1428	
tech-03	human	tech	1749	1749	
tech-04	human	tech	2068	2068	
tech-05	human	tech	2285	2276	제목 줄
tech-06	human	tech	1257	1257	
tech-07	human	tech	1628	1628	
tech-08	human	tech	1058	1058	
tech-09	human	tech	1005	1005	
tech-10	human	tech	4395	4395	
ai-personal-01	ai	personal	605	605	
ai-personal-02	ai	personal	567	567	
ai-personal-03	ai	personal	490	490	
ai-personal-04	ai	personal	880	877	제목 줄
ai-personal-05	ai	personal	2266	2266	
ai-personal-06	ai	personal	478	478	
ai-personal-07	ai	personal	576	576	
ai-personal-08	ai	personal	1187	1187	
ai-tech-06	ai	tech	860	847	제목 줄
ai-tech-01	ai	tech	1877	1877	
ai-tech-02	ai	tech	897	897	
ai-personal-09	ai	personal	3707	3707	
ai-tech-03	ai	tech	1097	1097	
ai-personal-10	ai	personal	842	842	
ai-wiki-01	ai	wiki	747	747	
ai-wiki-02	ai	wiki	553	553	
ai-tech-05	ai	tech	1357	1348	제목 줄
ai-wiki-03	ai	wiki	689	689	
ai-wiki-04	ai	wiki	719	719	
ai-tech-07	ai	tech	1009	1009	
ai-tech-08	ai	tech	674	628	메타 문단;제목 줄
ai-wiki-05	ai	wiki	1000	1000	
ai-tech-09	ai	tech	684	684	
ai-wiki-06	ai	wiki	1621	1621	
ai-wiki-07	ai	wiki	657	657	
ai-wiki-08	ai	wiki	4717	4673	미디어위키 제목 줄;미디어위키 제목 줄;미디어위키 제목 줄;미디어위키 제목 줄;미디어위키 제목 줄;미디어위키 제목 줄;미디어위키 제목 줄
ai-wiki-09	ai	wiki	920	920	
ai-wiki-10	ai	wiki	630	630	
ai-tech-04	ai	tech	1228	1179	메타 문단;제목 줄
ai-tech-10	ai	tech	2060	2060	
