pair	human_before	ai_before	target	human_after	ai_after
wiki-01	997	747	747	764	747
wiki-02	848	553	553	567	553
personal-01	925	605	605	640	605
personal-02	831	567	567	595	567
personal-03	910	490	490	539	490
personal-04	1476	877	877	903	877
wiki-03	900	689	689	691	689
personal-05	3271	2266	2266	2295	2266
wiki-04	1101	719	719	770	719
wiki-05	1816	1000	1000	1020	1000
wiki-06	4103	1621	1621	1621	1621
personal-06	877	478	478	496	478
wiki-07	978	657	657	680	657
personal-07	807	576	576	593	576
wiki-08	10857	4673	4673	4835	4673
personal-08	2236	1187	1187	1205	1187
wiki-09	1277	920	920	960	920
personal-09	5961	3707	3707	3746	3707
personal-10	1353	842	842	865	842
wiki-10	1293	630	630	641	630
tech-01	2830	1877	1877	1881	1877
tech-02	1428	897	897	916	897
tech-03	1749	1097	1097	1122	1097
tech-04	2068	1179	1179	1180	1179
tech-05	2276	1348	1348	1349	1348
tech-06	1257	847	847	878	847
tech-07	1628	1009	1009	1017	1009
tech-08	1058	628	628	648	628
tech-09	1005	684	684	691	684
tech-10	4395	2060	2060	2093	2060
